Topic,Count,Name,Representation,Representative_Docs
219,42,219_000 march in_000 march_30 000 march_march in all,"['000 march in', '000 march', '30 000 march', 'march in all', 'in all black', 'all black lives', '30 000', 'protest allblacklivesmatter', 'march', 'all black', 'matter protest allblacklivesmatter', 'lives matter protest', 'matter protest', 'march in', 'in all']","['gothsagainstwhitesupremacy\n30,000 march in all black lives matter protest allblacklivesmatter pride2020 pride… https://t.co/12yg5ksjz5', 'only1racethehumanrace\n30,000 march in all black lives matter protest allblacklivesmatter pride2020 pride… https://t.co/aqvcaoit9u', 'ifblacklivesmatterthenvote\n30,000 march in all black lives matter protest allblacklivesmatter pride2020 pride… https://t.co/mrslhf6hep']"
220,42,220_today good day_today good_murdered today good_good day,"['today good day', 'today good', 'murdered today good', 'good day', 'it been months', 'been months', 'good day https', 'was murdered today', 'murdered today', 'day https co', 'day https', 'since breonnataylor was', 'since breonnataylor', 'today', 'breonnataylor was murdered']","['today is tuesday, december  15th. it’s been 9 months, 2 days since breonnataylor was murdered.\n\ntoday’s a good day… https://t.co/foewijubjz', 'today is tuesday, december  22nd. it’s been 9 months, 9 days since breonnataylor was murdered.\n\ntoday’s a good day… https://t.co/gjcanwtgcb', 'today is sunday, november 22nd. it’s been 8 months, 9 days since breonnataylor was murdered.\n\ntoday’s a good day f… https://t.co/1fu2oopg1g']"
221,42,221_armenian_armenia_azerbaijan_armeniansforblacklives,"['armenian', 'armenia', 'azerbaijan', 'armeniansforblacklives', 'armenians', 'stopaliyev', 'turkey', 'erdogan', 'turkish hitler', 'turkeyoutofnato', 'azeri', 'peaceforarmenians', 'hitler', 'turkish', 'genocide']","['mark- why are you supporting holocaust and genocide being commutes by azeri’s and turks.? hitler modeled himself af… https://t.co/wi7lskogy1', 'lgbtq 🏳️\u200d🌈 community, blm community\nartsakh is under attack from turkey and azerbaijan. it’s an armenian historical… https://t.co/daolcer9f0', 'azerbaijan mod is tweeting about its president aliyev taking armenia the same way hitler took alsace and lorraine… https://t.co/hfaqf8m5ca']"
222,42,222_posts_blm posts_posting_about blm,"['posts', 'blm posts', 'posting', 'about blm', 'my friends', 'blm', 'friends', 'post', 'blm posts and', 'not posting', 'my', 'about', 'posts and', 'post about blm', 'me']","['the way blm posts stopped popping up like it was a trend... keep it going blacklivesmatter', 'whenever i see my friends post and share helpful blm info/resources on their stories and feeds: “don’t be shy add some more”', 'me everytime my friends post helpful blm info/resources on their stories and feed: “don’t be shy, add some more”']"
223,41,223_realdonaldtrump blm https_realdonaldtrump blm_realdonaldtrump_blm https co,"['realdonaldtrump blm https', 'realdonaldtrump blm', 'realdonaldtrump', 'blm https co', 'blm https', 'bucksexton realdonaldtrump blm', 'bucksexton realdonaldtrump', 'bucksexton', 'foxnews', 'blm', 'foxnews blm', 'seanhannity', 'fox', 'narrative', 'lakets']","['@bucksexton @realdonaldtrump blm https://t.co/r1og9gff6l', '@bucksexton @realdonaldtrump blm https://t.co/whbfyaemcr', '@bucksexton @realdonaldtrump blm https://t.co/7fnstbtnru']"
224,41,224_minneapolis_minneapolisprotests_minneapolisriots_minneapolispolice,"['minneapolis', 'minneapolisprotests', 'minneapolisriots', 'minneapolispolice', 'declaring war on', 'declaring war', 'minnesota', 'justiceforgeorgefloyd', 'blacklivesmatter minneapolis', 'declaring', 'war on', 'blacklivesmatter', 'minneapolis district attorney', 'district attorney raise', 'blacklivesmatter therevolutionisnow']","['just got back from minneapolis. \nhead a great time. \nit was a riot.\n\ncomedy minneapolis riots blacklivesmatter', 'video of anonymous declaring war on minneapolispolicedepartment\nblacklivesmatter therevolutionisnow\nhttps://t.co/9dkoogzgze', 'video of anonymous declaring war on minneapolispolicedepartment\nblacklivesmatter therevolutionisnow\nhttps://t.co/9dkoogzgze']"
225,41,225_nigger_white_white nigger_white niggers,"['nigger', 'white', 'white nigger', 'white niggers', 'niggers', 'me nigger', 'me', 'white people', 'white person', 'the white', 'nigger in', 'called me', 'white guy', 'called me nigger', 'and your still']","['damn \n\nthe white guy in dance music that called me a nigger emailed me admitting to it\n\nthere’s all these other words that don’t matter\n\n💕🥰', 'look asshole you dont let me do shit. i dont need your permission. nor will you ever tell me what to do. ya white nigger', 'you tried frame n me with eddy and mary. then lea and fether. then you shit your mouth of. spreding roumors. white nigger']"
226,41,226_video_video blacklivesmatter_check out_video blacklivesmatter tiktok,"['video', 'video blacklivesmatter', 'check out', 'video blacklivesmatter tiktok', 'tiktok', 'blacklivesmatter tiktok', 'blacklivesmatter tiktok https', 'tiktok https', 'tiktok https co', 'check', 'tiktok blacklivesmatter https', 'video tiktok blacklivesmatter', 'tiktok blacklivesmatter', 'video tiktok', 'this video']","[""check out jake gracey's video! blacklivesmatter tiktok https://t.co/cz8lo2oaiw"", ""check out youtube-trash tv's video! blacklivesmatter tiktok https://t.co/rshjqmfkma"", ""check out cici 🪐's video! blacklivesmatter tiktok  https://t.co/3ykdizcu6k""]"
227,41,227_dog_dogs_pup_ashoswai,"['dog', 'dogs', 'pup', 'ashoswai', 'my dog', 'paki', 'his dog', 'hahaha', 'jamelov123 ashoswai', 'jamelov123', 'pakis', 'pakis eating', 'eating dogs', 'pakis eating dogs', 'nursealt93']","['@jamelov123 @ashoswai hahaha! dog eating pakis https://t.co/xed060duxm', '@jamelov123 @ashoswai hahaha! pakis eating dogs https://t.co/xed060duxm', '@jamelov123 @ashoswai pakis eating dogs! https://t.co/e4vibbvauw']"
228,40,228_reparations_california_state_reparations for,"['reparations', 'california', 'state', 'reparations for', 'slavery', 'passes reparations bill', 'assembly passes', 'assembly passes reparations', 'passes reparations', 'task force', 'passes', 'task', 'reparations bill', 'bill', 'assembly']","['asm dr. shirley weber: reparations for california forced sterilization survivors - sign the petition! https://t.co/kc4ahrtk1t via @change', 'texco news: @texcoconnection the state of california moves forward with reparations plans for african americans.… https://t.co/q0mppxyxdj', 'texco news: @texcoconnection the state of california moves forward with reparations plans for african americans.… https://t.co/erbefpszhn']"
229,40,229_blackwomen_blackexcellence_blackpower_blackgirls,"['blackwomen', 'blackexcellence', 'blackpower', 'blackgirls', 'blackmen', 'blackexcellence blackpride blackisbeautiful', 'blackgirls black https', 'blackpower blackbuzzfeed', 'blackbuzzfeed', 'blackbuzzfeed blackexcellence', 'blackisbeautiful blackgirls black', 'blackisbeautiful blackgirls', 'blackpride blackisbeautiful', 'blackexcellence blackpride', 'blackgirls black']","['growingupblack blackpower blackbuzzfeed\nblackexcellence blackpride blackisbeautiful blackgirls black… https://t.co/55izinlpmi', 'growingupblack blackpower blackbuzzfeed\nblackexcellence blackpride blackisbeautiful blackgirls black… https://t.co/sq6cenune3', 'growingupblack blackpower blackbuzzfeed\nblackexcellence blackpride blackisbeautiful blackgirls black… https://t.co/bpoa67v65g']"
230,40,230_justiceforgeorgefloyd blacklivesmatter_blacklivesmatter justiceforgeorgefloyd blacklivesmatter_justiceforgeorgefloyd_blacklivesmatter justiceforgeorgefloyd,"['justiceforgeorgefloyd blacklivesmatter', 'blacklivesmatter justiceforgeorgefloyd blacklivesmatter', 'justiceforgeorgefloyd', 'blacklivesmatter justiceforgeorgefloyd', 'justiceforgeorgefloyd blacklivesmatter justiceforgeorgefloyd', 'justiceforgeorgefloyd blacklivesmatter blacklivesmatter', 'justiceforgeogefloyd', 'justiceforgeogefloyd blacklivesmatter', 'blacklivesmatter justiceforgeogefloyd', 'blacklivesmatter', 'justiceforgeorgefloyd justiceforgeorgefloyd blacklivesmatter', 'blacklivesmatter justiceforgeorgefloyd justiceforgeorgefloyd', 'justiceinpolicing blacklivesmatter', 'blacklivesmatter justiceforgeogefloyd blacklivesmatter', 'blacklivesmatter justiceforgeorgefloyd holdcopsaccountable']","['justiceforgeorgefloyd blacklivesmatter', 'justiceforgeorgefloyd blacklivesmatter', 'justiceforgeorgefloyd blacklivesmatter']"
231,40,231_history_of history_side of history_side of,"['history', 'of history', 'side of history', 'side of', 'history blacklivesmatter https', 'history blacklivesmatter', 'side', 'the history', 'history in', 'blacklivesmatter https', 'blacklivesmatter https co', 'history books', 'the right side', 'right side of', 'right side']","['history in the making...enduring change is often paid for with blood🩸🖤 rip georgefloyd change blacklivesmatter w… https://t.co/j83eyx4xdp', '@cnni heart breaking 💔 tulsa 1921 \nthis story need to be told a hidden 🇺🇸american history blacklivesmatter . https://t.co/jdopxcp1gs', '@llcoolj heart breaking 💔 tulsa 1921 \nthis story need to be told a hidden 🇺🇸american history blacklivesmatter . https://t.co/jdopxcp1gs']"
232,39,232_masks_wore_wore masks_wearing masks,"['masks', 'wore', 'wore masks', 'wearing masks', 'mask', 'wearing', 'wear', 'wear masks', 'masks and', 'protesters', 'wore masks and', 'blm marches', 'masks because', 'at', 'marches']","[""@marcm714 what we've seen with all the blm protests in the summer. most people protester g wore masks, and there w… https://t.co/qmd6pqrbr8"", '@continetti @freebeacon fuck you. the blm protestors wore masks and were outside.', '@cbsnews some nitwit on fb said that blm protesters all wore masks and kept a 6 foot distance from each other accor… https://t.co/eohequhc5h']"
