Topic,Count,Name,Representation,Representative_Docs
-1,28364,-1_blm_co_https_https co,"['blm', 'co', 'https', 'https co', 'the', 'to', 'blacklivesmatter', 'and', 'you', 'of', 'is', 'in', 'this', 'that', 'it']","['@blh4house they sure want you to think the libs are coming for you and the black lives matter and the antifa. why d… https://t.co/dpqdaxas3p', 'this is why we are doing what we are doing. this is why george floyd should be alive and this little girl would hav… https://t.co/ixolw6pg6d', 'black lives matter blacklivesmatter']"
0,1540,0_nazi_nazis_the nazis_the nazi,"['nazi', 'nazis', 'the nazis', 'the nazi', 'you', 'are', 'nazis are', 'the', 'nazis and', 'they', 'of', 'to', 'your', 'and', 'like']","['sounds like the nazis', 'fucking nazis', 'fucking nazis']"
1,1502,1_lives_matter_lives matter_black lives,"['lives', 'matter', 'lives matter', 'black lives', 'black lives matter', 'black', 'all lives', 'matter https co', 'matter https', 'lives matter https', 'lives matter movement', 'matter movement', 'the black lives', 'the black', 'all']","['black lives matter ✊🏽', 'black lives matter !!!', 'black lives matter ✊🏾']"
2,1391,2_slave_slaves_labor_owners,"['slave', 'slaves', 'labor', 'owners', 'slave owners', 'slave labor', 'the slave', 'to', 'they', 'the slaves', 'were', 'you', 'my', 'slaves to', 'that']","['i am a slave', 'slave mentality', '🇨🇳🇨🇳🇨🇳 slave']"
3,1288,3_blm protests_protests_blm_protesters,"['blm protests', 'protests', 'blm', 'protesters', 'protest', 'the blm', 'blm protest', 'blm protesters', 'peaceful', 'riots', 'protestors', 'blm protestors', 'the blm protests', 'were', 'the']","['but, the protests and riots were just fine? if you support blm protests/riots then you certainly have no problem w… https://t.co/rtn3jbjep8', 'you guys remember how the capitol building looked during the blm protests?', 'it’s the spontaneous events in la for me. the last time we were here, was during the blm protests, this time, the t… https://t.co/sicb6vumwx']"
4,965,4_chauvin_derek_derek chauvin_guilty,"['chauvin', 'derek', 'derek chauvin', 'guilty', 'chauvin is', 'trial', 'verdict', 'murder', 'degree', 'derek chauvin is', 'chauvin trial', 'the derek', 'the derek chauvin', 'found guilty', 'chauvin was']","['derek chauvin is guilty guilty guilty!\n💖💖💖😭😭😭', 'fuck derek chauvin', 'derek chauvin is guilty of all charges']"
5,910,5_hitler_he_his_him,"['hitler', 'he', 'his', 'him', 'hitler was', 'was', 'he was', 'would', 'bunker', 'he is', 'that', 'realdonaldtrump', 'like', 'had', 'hitler and']","[""@thomaskaine5 no. but he's not hitler intellectually, who was a voracious reader. he's evil like hitler but he's as… https://t.co/htqgwbsq3e"", ""he's not hitler only because he does not have hitler's skills. hitler was actually brilliant. people don't like to… https://t.co/9ygeap2tlp"", 'orange hitler']"
6,842,6_trump_hitler_trump is_trump supporters,"['trump', 'hitler', 'trump is', 'trump supporters', 'supporters', 'president', 'hitler trump', 'he', 'trump hitler', 'blm', 'obama', 'is', 'to', 'trump hitler trump', 'and']","['@seanhannity trump hitler trump hitler trump hitler trump hitler trump hitler trump hitler trump hitler trump hitler', '@realdonaldtrump trump hitler trump hitler trump hitler trump hitler trump hitler trump hitler trump hitler trump hitler', 'hitler trump🤔']"
7,825,7_blacklivesmatter https co_blacklivesmatter https_blacklivesmatter_https co,"['blacklivesmatter https co', 'blacklivesmatter https', 'blacklivesmatter', 'https co', 'https', 'co', 'blacklivesmatters https co', 'blacklivesmatters https', 'blacklivesmatter blacklivesmatter https', 'blacklivesmatters', 'we must ensure', 'must ensure', 'ensure blacklivesmatter', 'ensure blacklivesmatter doesn', 'must ensure blacklivesmatter']","['blacklivesmatter https://t.co/chdrgt0yzm', 'blacklivesmatter https://t.co/ui3sdivovc', 'blacklivesmatter blacklivesmatter https://t.co/kutbzup2eo']"
8,801,8_mayor jacob_mayor jacob frey_frey justice for_frey justice,"['mayor jacob', 'mayor jacob frey', 'frey justice for', 'frey justice', 'jacob frey justice', 'jacob frey', 'frey', 'floyd sign the', 'floyd sign', 'george floyd sign', 'jacob', 'justice for george', 'change mayor', 'change mayor jacob', 'mayor']","['mayor jacob frey: justice for george floyd - sign the petition! https://t.co/fban1tshtx via @change', 'mayor jacob frey: justice for george floyd - sign the petition! https://t.co/mfeotngtau', 'mayor jacob frey: justice for george floyd - sign the petition! https://t.co/3letw9qsjl']"
9,780,9_protest_blacklivesmatter_peaceful_blacklivesmatter protest,"['protest', 'blacklivesmatter', 'peaceful', 'blacklivesmatter protest', 'protests', 'peaceful protest', 'protest in', 'protesting', 'today', 'blacklivesmatter https', 'blacklivesmatter https co', 'protests2020', 'in', 'la', 'blacklivesmatter protests']","['a peaceful protest. blacklivesmatter https://t.co/iceq6jtsx9', 'signs from the peaceful protest today in dtla\n\nblacklivesmatter https://t.co/eokmldvxlw', 'peaceful protest in downtown la blacklivesmatter https://t.co/ujv2hyyagt']"
10,682,10_anti_semitic_anti semitic_semitism,"['anti', 'semitic', 'anti semitic', 'semitism', 'anti semitism', 'jewish', 'jews', 'israel', 'antisemitism', 'the anti', 'semitism is', 'anti semitism is', 'the anti semitic', 'is', 'an anti semitic']","['what an anti semitic idiot.', 'anti semitism in 3, 2, 1......', 'racist. anti-semitic']"
11,679,11_police_cops_the police_policebrutality,"['police', 'cops', 'the police', 'policebrutality', 'blm', 'cop', 'officers', 'perverted', 'blacklivesmatter', 'rso', 'cops are', 'policereform', 'are', 'policebrutalitypandemic', 'policeviolence']","['defund the police.\n\nblacklivesmatter https://t.co/pjrp4wvi0m', 'fuck the police blacklivesmatter  justiceforjacob', 'policebrutality blacklivesmatter']"
12,628,12_kike_dodgers_kike kike_kike is,"['kike', 'dodgers', 'kike kike', 'kike is', 'joc', 'kike and', 'hit', 'and kike', 'game', 'the dodgers', 'dodger', 'ball', 'kikehndez', 'kike was', 'you kike']","['kike 😍😍😍', 'kike !!!', 'kike !!!!!']"
13,600,13_racism_racist_anti black_anti,"['racism', 'racist', 'anti black', 'anti', 'racism is', 'racists', 'black', 'you', 'blm', 'blacklivesmatter', 'people', 'is', 'racism blacklivesmatter', 'and', 'it']","['@aryuduhm is always talking about racism racism racism you out here calling me a wetback hoe.', 'if there was a headline that could connect how anti-black racism is truly a public health crisis...', 'fuck racism! blacklivesmatter']"
14,597,14_she_her_woman_she was,"['she', 'her', 'woman', 'she was', 'to', 'blm', 'on her', 'she said', 'nigger', 'and', 'that she', 'said', 'this woman', 'this', 'terf']","['she not only knows she’s ignorant but she’s ok with being ignorant.  polynesians for blm https://t.co/a8ozhv3wza', ""@malcolmxrandal i don't need her. she steals black people's language. she literally asked who is black. she is anti black"", 'she got blm in her bio she take black dick from what i’m hearing']"
15,593,15_blacklivesmatter blacklivesmatter blacklivesmatter_blacklivesmatter blacklivesmatter_blacklivesmatter_blacklivesmatter blacklivesmatter also,"['blacklivesmatter blacklivesmatter blacklivesmatter', 'blacklivesmatter blacklivesmatter', 'blacklivesmatter', 'blacklivesmatter blacklivesmatter also', 'blacklivesmatter also blacklivesmatter', 'blacklivesmatter also', 'also blacklivesmatter', 'blacklivesmatter mlk blacklivesmatter', 'blacklivesmatter mlk', 'takeaknee blacklivesmatter blacklivesmatter', 'mlk blacklivesmatter blacklivesmatter', 'also blacklivesmatter blacklivesmatter', 'blacklivesmatter takeaknee blacklivesmatter', 'blacklivesmatter blacklivesmatter takeaknee', 'mlk blacklivesmatter']","['blacklivesmatter', 'blacklivesmatter', 'blacklivesmatter']"
16,558,16_virus_china_china virus_chinese,"['virus', 'china', 'china virus', 'chinese', 'chinese virus', 'chinavirus', 'the china', 'the china virus', 'chinesevirus', 'the chinese', 'the chinese virus', 'virus is', 'it', 'chinese virus is', 'the']","['china virus', 'china virus 🦠', 'china virus 🇨🇳']"
17,554,17_bipoc_of bipoc_for bipoc_bipoc and,"['bipoc', 'of bipoc', 'for bipoc', 'bipoc and', 'the bipoc', 'to', 'communities', 'white', 'and', 'artists', 'of', 'for', 'are', 'you', 'bipoc communities']","['my favorite flavor of bullsh*t is white ppl calling out bipoc for not supporting bipoc.', 'my favorite flavor of bullsh*t is white ppl calling bipoc for not supporting bipoc.', 'we need more bipoc biopics']"
18,549,18_homophobia_homophobia is_the homophobia_homophobia and,"['homophobia', 'homophobia is', 'the homophobia', 'homophobia and', 'internalized', 'internalized homophobia', 'homophobia in', 'and homophobia', 'gay', 'of homophobia', 'racism', 'is', 'and', 'transphobia', 'gays']","['i have homophobia 😔', 'your homophobia is showing 🤡', 'this is homophobia']"
19,542,19_reparations_reparations for_for reparations_need reparations,"['reparations', 'reparations for', 'for reparations', 'need reparations', 'need', 'reparations is', 'reparations to', 'for', 'pay', 'reparations are', 'ubi', 'of reparations', 'the reparations', 'ados', 'reparations https co']","['reparations reparationsnow', '&amp;  reparations 🙄', 'reparations ❗️❗️❗️']"
20,525,20_george floyd_george_floyd_protests,"['george floyd', 'george', 'floyd', 'protests', 'george floyd protests', 'floyd protests', 'georgefloyd', 'protest', 'george floyd protest', 'floyd protest', 'protesters', 'of george floyd', 'of george', 'in', 'protesting']","['george floyd, minneapolis protests, ahmaud arbery &amp; amy cooper | the dai... https://t.co/5u4wattebw via @youtube', 'george floyd, minneapolis protests, ahmaud arbery &amp; amy cooper | the dai... https://t.co/4wq0wmvdfp via @youtube', 'george floyd, minneapolis protests, ahmaud arbery &amp; amy cooper | the dai... https://t.co/dnllppowgq via @youtube']"
21,502,21_negro_negros_this negro_the negro,"['negro', 'negros', 'this negro', 'the negro', 'que', 'me', 'el', 'de', 'el negro', 'house negro', 'negro please', 'house', 'this', 'my', 'that negro']","['remember el negro', '@alejogavidia negro, negro ....', 'negro please']"
22,491,22_drag_drag queen_queen_queens,"['drag', 'drag queen', 'queen', 'queens', 'drag queens', 'dragqueen', 'drag dragqueen', 'the drag', 'makeup', 'drag dragqueen makeup', 'dragqueen makeup', 'dragqueens', 'favorite drag', 'bibble', 'makeup style']","['smile. if you enjoy what you see \nvenmo a hoe @hershadyship \n.\n.\n.\n\ndrag dragqueen makeup style fashion… https://t.co/u8tno7vi4j', 'how are the drag queens doing?', 'one of my favorite drag queens of all time 🌈🌈🌈']"
23,489,23_blackouttuesday_blackouttuesday blacklivesmatter_blacklivesmatter blackouttuesday_blackouttuesday https,"['blackouttuesday', 'blackouttuesday blacklivesmatter', 'blacklivesmatter blackouttuesday', 'blackouttuesday https', 'blackouttuesday https co', 'blackouttuesday blacklivesmatter https', 'blacklivesmatter blackouttuesday https', 'blackoutday2020', 'blackout', 'theshowmustbepaused', 'blacklivesmatter', 'blacklivesmatter https co', 'blacklivesmatter https', 'blackoutday', 'blackoutuesday']","['blacklivesmatter blackouttuesday https://t.co/21wwe2syrk', 'blacklivesmatter blackouttuesday', 'blackouttuesday blacklivesmatter']"
24,455,24_holocaust_the holocaust_survivor_holocaust survivor,"['holocaust', 'the holocaust', 'survivor', 'holocaust survivor', 'of the holocaust', 'holocaust survivors', 'holocaust was', 'museum', 'survivors', 'holocaust and', 'remembrance', 'the holocaust was', 'holocaust remembrance', 'remembrance day', 'holocaust remembrance day']","['@lyzl @davidcoleaia adolf eichmann was an organizer of the holocaust and this guy is suggesting letting 8 million e… https://t.co/b9wan1uptp', '@daxgigandet the holocaust', 'holocaust']"
25,431,25_breonna_breonna taylor_taylor_killed breonna,"['breonna', 'breonna taylor', 'taylor', 'killed breonna', 'killed breonna taylor', 'killed', 'the cops', 'cops', 'taylor was', 'breonna taylor was', 'arrest', 'who killed breonna', 'murdered breonna taylor', 'murdered breonna', 'murdered']","['arrest the cops who killed breonna taylor justiceforbreonnataylor', 'arrest the cops who murdered breonna taylor', 'arrest the cops who murdered breonna taylor']"
26,418,26_faggot_faggots_fag_fags,"['faggot', 'faggots', 'fag', 'fags', 'me', 'me faggot', 'called', 'fuck', 'ass', 'like', 'called me', 'fucking', 'call', 'you', 'my']","['if a nigga hating on a faggot then he must b a faggot &amp; mad that the faggot look better than his faggot... niggas are weirdo bro 😂😂', 'fucking faggot', 'just call me a faggot']"
27,410,27_justiceforgeorgefloyd_blacklivesmatter justiceforgeorgefloyd_justiceforgeorgefloyd https_justiceforgeorgefloyd https co,"['justiceforgeorgefloyd', 'blacklivesmatter justiceforgeorgefloyd', 'justiceforgeorgefloyd https', 'justiceforgeorgefloyd https co', 'blacklivesmatter', 'blacklivesmatter justiceforgeorgefloyd https', 'justiceforbreonnataylor', 'justiceforgeorgefloyd blacklivesmatter', 'justiceforgeorge', 'justiceforgeorgefloyd blacklivesmatter https', 'justiceforahmaud', 'justice', 'blacklivesmatter https co', 'blacklivesmatter https', 'justiceforgeogefloyd']","['blacklivesmatter justiceforgeorgefloyd https://t.co/s6cvfuzys0', 'blacklivesmatter justiceforgeorgefloyd https://t.co/9dwjltjcx4', 'blacklivesmatter justiceforgeorgefloyd https://t.co/4qafbopkwn']"
28,404,28_gay_lgbtq_gay agenda_the gay,"['gay', 'lgbtq', 'gay agenda', 'the gay', 'agenda', 'the gay agenda', 'queer', 'translivesmatter', 'bellafarrow', 'lgbt', 'gays', 'queer baiting', 'baiting', 'pride', 'lgbtq translivesmatter']","['the gay agenda is multiplying.', 'the gay agenda', 'the gay agenda']"
29,369,29_illuminati_the illuminati_illuminati is_in the illuminati,"['illuminati', 'the illuminati', 'illuminati is', 'in the illuminati', 'the illuminati is', 'illuminati https co', 'illuminati https', 'of the illuminati', 'the', 'join', 'illuminati and', 'about the illuminati', 'me', 'conspiracy', 'an illuminati']","['illuminati', 'illuminati', 'illuminati']"
30,357,30_germany_nazi germany_nazi_german,"['germany', 'nazi germany', 'nazi', 'german', 'hitler', 'reich', 'germans', 'to nazi germany', 'in nazi germany', 'to nazi', 'in nazi', 'in germany', 'in', 'the german', 'europe']","['welcome to nazi germany everyone!!!!!', 'nazi germany', '@lilliandt_ in nazi germany']"
31,344,31_andy beshear justice_andy beshear_beshear justice for_beshear justice,"['andy beshear justice', 'andy beshear', 'beshear justice for', 'beshear justice', 'beshear', 'andy', 'change andy', 'via change andy', 'change andy beshear', 'taylor sign the', 'breonna taylor sign', 'taylor sign', 'justice for breonna', 'for breonna taylor', 'for breonna']","['andy beshear: justice for breonna taylor - sign the petition! https://t.co/cleypeg4aa via @change', 'andy beshear: justice for breonna taylor - sign the petition! https://t.co/nsynb9bbjy via @change', 'andy beshear: justice for breonna taylor - sign the petition! https://t.co/wmffv9lmit via @change']"
32,329,32_latinos_mexicans_mexican_latino,"['latinos', 'mexicans', 'mexican', 'latino', 'latinx', 'anti black', 'hispanic', 'anti', 'latinosforblacklivesmatter', 'black', 'spanish', 'hispanics', 'beaner', 'mexico', 'que']","['pues aca a los güeros les maman las latinas a las güeras los latinos chacalones jaja y a mi  wey los negros que pedo 🤩', 'latinos for black lives matter', 'latinos for t**mp\nlatinos for blue lives\nlatinos playing the ""what about us?"" card during these blm protests\nmexica… https://t.co/1ifaa5yzey']"
33,327,33_mural_art_painted_matter mural,"['mural', 'art', 'painted', 'matter mural', 'lives matter mural', 'street', 'painting', 'artists', 'paint', 'murals', 'artwork', 'blm mural', 'mural in', 'black lives', 'black lives matter']","['blacklivesmatter  art', '“all black lives matter” mural painted across hollywood boulevard hollywood blacklivesmatter https://t.co/ycxtvr5drt', 'why did hollywood blvd need to remove the all black lives matter mural painted one the street? 😡 https://t.co/m9crun5wvw']"
34,321,34_george floyd_floyd_george_officer,"['george floyd', 'floyd', 'george', 'officer', 'police', 'cop', 'floyd was', 'george floyd was', 'killed george floyd', 'killed george', 'officers', 'killed', 'cops', 'police officer', 'murdered']","['“minnesota authorities: police officer who killed george floyd has been arrested.”\n\ncopyeditingtweetsforaccuracy', 'police officer who murdered* george floyd has been arrested.', 'the police officer who killed george floyd should be charged with murder.']"
35,314,35_illegal aliens_aliens_illegal_fairimmigration,"['illegal aliens', 'aliens', 'illegal', 'fairimmigration', 'irlilaw', 'aliens are', 'illegal aliens are', 'criminal illegal aliens', 'criminal illegal', 'illegal aliens and', 'aliens and', 'citizens', 'criminal', 'our', 'country']","['nancy pelosi invited illegal aliens to the state of the union. president trump invited victims of illegal aliens to… https://t.co/g9hsntuvxu', 're: illegal aliens and history - @thespybrief', '@fairimmigration @nypost @emilyfjacobs no more illegal aliens to infect americans.  no more criminal illegal aliens… https://t.co/autidfo58m']"
36,312,36_breonnataylor arrest the_killed breonnataylor arrest_breonnataylor arrest_killed breonnataylor,"['breonnataylor arrest the', 'killed breonnataylor arrest', 'breonnataylor arrest', 'killed breonnataylor', 'who killed breonnataylor', 'cops who killed', 'arrest the cops', 'the cops who', 'who killed', 'cops who', 'arrest the', 'the cops', 'arrest', 'killed', 'cops']","['arrest the cops who killed breonnataylor', 'arrest the cops who killed breonnataylor', 'arrest the cops who killed breonnataylor']"
37,304,37_trump_nazi_nazi trump_trump is,"['trump', 'nazi', 'nazi trump', 'trump is', 'nazis', 'fine people', 'fine', 'his', 'very fine', 'very fine people', 'supporters', 'is', 'donald', 'donald trump', 'he']","['trump is a nazi', 'trump is a nazi', 'trump is a nazi']"
38,293,38_nigger_niggers_me nigger_called nigger,"['nigger', 'niggers', 'me nigger', 'called nigger', 'called', 'me', 'call me nigger', 'called me', 'say nigger', 'called me nigger', 'these niggers', 'nigger in', 'call me', 'this nigger', 'nigga']","['nigger', 'nigger', 'nigger']"
39,291,39_breathe_cant breathe_cant_can breathe,"['breathe', 'cant breathe', 'cant', 'can breathe', 'breathe cant breathe', 'breathe cant', 'cant breathe cant', 'can', 'breathe https co', 'breathe https', 'cant breathe https', 'breathe can', 'cant breathe can', 'breathe can breathe', 'can breathe cant']","['i cant breathe 💀😂😂😂', 'i cant breathe', 'i cant breathe']"
40,289,40_blacklivesmatter_tetedolis_tetedolis blacklivesmatter_blacklivesmatter blm lordmesaart,"['blacklivesmatter', 'tetedolis', 'tetedolis blacklivesmatter', 'blacklivesmatter blm lordmesaart', 'blm lordmesaart', 'lordmesaart', 'youranoncentral', 'blacklivesmatter realdonaldtrump', 'blacklivesmatter blm', 'blmla', 'blacklivesmatters', 'well said', 'blacklivesmatter tetedolis blacklivesmatter', 'blacklivesmatter tetedolis', 'brownlivesmatter']","['@tetedolis blacklivesmatter', '@tetedolis blacklivesmatter', 'howardmackie falconandwintersoldier falcon\n@blklivesmatter blacklivesmatter blm lordmesaart']"
41,286,41_black lives matter_black lives_lives matter_matter,"['black lives matter', 'black lives', 'lives matter', 'matter', 'lives', 'black', 'lives matter protest', 'matter protest', 'lives matter protesters', 'matter protesters', 'protest', 'matter protests', 'lives matter protests', 'protesters', 'protests']","['black lives matter ""protesters"" are the new lynch mobs.', 'how to deal with black lives matter ""protesters.""', 'black lives matter ""protesters"" are the new lynch mobs.']"
42,281,42_donate_donated_to blm_to donate,"['donate', 'donated', 'to blm', 'to donate', 'donating', 'donated to', 'donate to', 'donations', 'donation', 'to', 'money', 'fund', 'blm', 'you can', 'just donated']","['@agent_grassi for everyone to donate to blm and trans related causes', 'just donated to @blklivesmatter and will continue to do so. donate now if you can blacklivesmatter', 'don’t donate to blm donate to me bish']"
43,272,43_lakers_sports_players_athletes,"['lakers', 'sports', 'players', 'athletes', 'nba', 'team', 'nfl', 'basketball', 'teams', 'jerseys', 'the nfl', 'the lakers', 'the nba', 'game', 'dodgers']","['lets go lakers!!! 💪😎🏆 lakers teamlebron jamesgang lakersnation blm nba lebronjames calvinbenedict sports… https://t.co/hcqx2dz4vu', 'this black lives matter special on basketball before the first game of the nba is about to make me cry 😭 the story… https://t.co/kwugv6whne', '@lakers so proud of my lakers! blacklivesmatter']"
44,271,44_slaves_slave_white_african,"['slaves', 'slave', 'white', 'african', 'black', 'slave owners', 'owners', 'black people', 'were', 'the slave', 'people', 'africa', 'trade', 'slave trade', 'slavery']","['it’s impossible to get off the slave ship if you truly believe the lie that black people can’t swim', 'it’s impossible to get off the slave ship if you truly believe the lie that black people cant swim', 'most black descendants of slavery are descended from slave owners because the slave owners r*ped the slaves. it’s n… https://t.co/5elzqns3gv']"
45,263,45_blm https_blm https co_blm_co,"['blm https', 'blm https co', 'blm', 'co', 'https co', 'https', 'dtla', 'blm blm', 'blmla', 'blm blm https', 'co vxtppy5ja4', 'gctv', 'https co vxtppy5ja4', 'vxtppy5ja4', 'blm blmla']","['blm https://t.co/oi3t9aszyp', '❤️❤️❤️ blm https://t.co/zxpeb2ihjy', 'blm https://t.co/jmpn7jwof6']"
46,261,46_justice_george_floyd_george floyd,"['justice', 'george', 'floyd', 'george floyd', 'georgefloyd', 'for george', 'justice for', 'for george floyd', 'served', 'trial', 'justice for george', 'for', 'justice for georgefloyd', 'for georgefloyd', 'floyd trial']","['justice for george floyd 💙', 'justice for george floyd', 'justice for george floyd !!!']"
47,256,47_blm movement_the blm movement_movement_the blm,"['blm movement', 'the blm movement', 'movement', 'the blm', 'blm', 'support', 'movement is', 'blm movement is', 'support the blm', 'you', 'the', 'support the', 'about the blm', 'is', 'if you']","['do you support the blm movement as it is ?', 'blm movement is', 'support the blm movement 🐸☕️']"
48,255,48_vote_election_blacklivesmatter vote_to vote,"['vote', 'election', 'blacklivesmatter vote', 'to vote', 'blacklivesmatter', 'bidenharris2020', 'vote2020', 'november', 'vote blacklivesmatter', 'democracy', 'voting', 'election2020', 'vote for', 'votebluetosaveamerica', 'vote blm']","['vote vote vote vote blacklivesmatter blm https://t.co/lmifj7jsdg', 'vote blm', '🔥🔥🔥 blacklivesmatter vote']"
49,254,49_music_song_blackmusicmonth_blackmusicmonth https,"['music', 'song', 'blackmusicmonth', 'blackmusicmonth https', 'blackmusicmonth https co', 'blacklivesmatter blackmusicmonth https', 'blacklivesmatter blackmusicmonth', 'this song', 'song for', 'blacklivesmatter', 'co', 'oobang', 'https co', 'https', 'hiphop']","['22. down in mississippi- mavis staples @mavisstaples \nblacklivesmatter blackmusicmonth \nhttps://t.co/gnjgpopwke', '30. mississippi goddam - nina simone  \nblacklivesmatter blackmusicmonth \nhttps://t.co/czwv1x7rx7', '10. blackbird - nina simone\nblacklivesmatter blackmusicmonth \nhttps://t.co/kmu5h1gowt']"
50,249,50_breonnataylor_arrest_killed breonnataylor_the cops,"['breonnataylor', 'arrest', 'killed breonnataylor', 'the cops', 'arrest the', 'cops', 'cops who', 'killed', 'who killed breonnataylor', 'arrest the cops', 'the cops who', 'murdered breonnataylor', 'who killed', 'cops who killed', 'who']","['arrest the cops who killed breonnataylor ! ✊🏿✊🏾✊🏽', 'arrest the cops who killed breonnataylor !!!', '🙋\u200d♀️🗣arrest the cops who killed breonnataylor ‼️']"
51,243,51_breonna taylor_breonna_taylor_for breonna taylor,"['breonna taylor', 'breonna', 'taylor', 'for breonna taylor', 'for breonna', 'justice for breonna', 'justice', 'justice for', 'breonna taylor https', 'taylor https', 'taylor https co', 'the breonna', 'the breonna taylor', 'for', 'breonna taylor case']","['justice for breonna taylor', 'justice for breonna taylor', 'justice for breonna taylor']"
52,242,52_hollywood_hollywood https_hollywood https co_blacklivesmatter hollywood,"['hollywood', 'hollywood https', 'hollywood https co', 'blacklivesmatter hollywood', 'blacklivesmatter hollywood https', 'hollywood blacklivesmatter', 'hollywoodprotest', 'in hollywood', 'blacklivesmatter', 'hollywood boulevard https', 'boulevard https', 'boulevard https co', 'hollywood boulevard', 'hollywood ca', 'blm hollywood']","['blacklivesmatter @ hollywood https://t.co/oehqns1cxh', 'blacklivesmatter @ hollywood https://t.co/5wmcaeqt49', 'blacklivesmatter @ hollywood https://t.co/uvkji1pfo6']"
53,237,53_transphobia_trans_transphobia is_the transphobia,"['transphobia', 'trans', 'transphobia is', 'the transphobia', 'transphobia and', 'transphobia in', 'of transphobia', 'transphobic', 'trans women', 'women', 'misgender', 'is', 'terfs', 'rowling', 'trans person']","['transphobia from a trans woman🤔', 'transphobia is for trump supporters', '♥️ transphobia']"
54,236,54_angeles california https_los angeles california_angeles california_los angeles,"['angeles california https', 'los angeles california', 'angeles california', 'los angeles', 'blacklivesmatter los angeles', 'angeles', 'blacklivesmatter los', 'california https', 'california https co', 'california', 'los', 'blacklivesmatter', 'theshowmustbepaused', 'https co', 'https']","['blacklivesmatter ❤️ @ los angeles, california https://t.co/17u1ux3jhl', 'blacklivesmatter @ los angeles, california https://t.co/bapfhpwoaf', 'blacklivesmatter @ los angeles, california https://t.co/7rrcseukas']"
55,230,55_he_nazi_him_he is,"['he', 'nazi', 'him', 'he is', 'his', 'the nazi', 'he nazi', 'nazis', 'his nazi', 'is', 'he is nazi', 'guy', 'nazi and', 'fascist', 'is nazi']","['@txiskov @artofmmignola nazi hunter.  the characters originals have political elements.  no one calling him to be a… https://t.co/yejfi4wn1l', 'for fuck’s sake. he is a nazi in a wheelchair. a brainless dr. strangelove.', '@rubbercamille nazi, not a nazi; option. no he is not aoc, but he is not a nazi and the alternative is .']"
56,223,56_marxist_communist_is marxist_blm is,"['marxist', 'communist', 'is marxist', 'blm is', 'blm is marxist', 'organization', 'marxist organization', 'blm', 'is marxist organization', 'marxists', 'marxism', 'marxist communist', 'is', 'the marxist', 'communists']","['@rudygiuliani @calineedshelp blm is a marxist organization.', 'blm ???? marxist organization !!!!!', '@rudygiuliani blm is a marxist organization\n\nhttps://t.co/xo0yiju2u3']"
57,223,57_dyke_dykes_dykes be_like,"['dyke', 'dykes', 'dykes be', 'like', 'like dyke', 'dyke https co', 'dyke https', 'be', 'me', 'the dyke', 'look like', 'this dyke', 'look', 'dyke dykes', 'dykes are']","['im a dyke ?!?!!', 'fuck a dyke', 'i’m a dyke']"
58,210,58_fag_faggot_fags_nig,"['fag', 'faggot', 'fags', 'nig', 'my nig', 'me', 'faggots', 'little faggot', 'sorrowfulboy', 'good little faggot', 'sorrowfulboy faggot', 'little', 'paki', 'ur', 'chink']","['@dwightyoakamfan @sthrnmomngram @illinimj @a1_dregs @jimeatock @thebradfordfile @joebiden just call me a fag and ge… https://t.co/7x8yi80tym', 'if anyone would like to know i am fag &lt;3 i am fat &lt;3 and i am nigga &lt;3 try me chile &lt;3', '@icejocky @avaaprill @steph_brown_aus @raklijnstra @benandjerrys i know all i need to know from you.. blm :)']"
59,208,59_antisemitism_antisemitic_antisemitism is_the antisemitism,"['antisemitism', 'antisemitic', 'antisemitism is', 'the antisemitism', 'of antisemitism', 'antisemitism in', 'antisemitism https co', 'antisemitism https', 'antisemitism and', 'the antisemitic', 'antisemitism on', 'is', 'it', 'and antisemitic', 'is antisemitic']","['the viewpoint of his rhetoric  is the definition of antisemitism if you actually know anything about antisemitism a… https://t.co/kzse65vxxo', 'it’s the antisemitism', '@alsoconnor @stopantisemites i see a lot of antisemitism on twitter. as a jew this is painful. \n\nbut ""antisemitism-… https://t.co/lphlptz783']"
60,208,60_concentration_concentration camps_camps_in concentration,"['concentration', 'concentration camps', 'camps', 'in concentration', 'in concentration camps', 'concentration camp', 'the concentration', 'camp', 'the concentration camps', 'muslims', 'camps in', 'concentration camps and', 'camps and', 'china', 'concentration camps in']","['there putting muslims in concentration camps in china fyi', 'what about the concentration camps', 'concentration camps']"
61,207,61_democrats_liberal_joebiden gavinnewsom https_gavinnewsom https co,"['democrats', 'liberal', 'joebiden gavinnewsom https', 'gavinnewsom https co', 'gavinnewsom https', 'speakerpelosi joebiden gavinnewsom', 'defundpolice blm acab', 'biden2020 democrates dumbies', 'biden2020 democrates', 'dumbies defundpolice', 'blm acab liberal', 'dumbies defundpolice blm', 'democrates', 'acab liberal', 'dumbies']","['biden2020 democrates dumbies defundpolice blm acab liberal @speakerpelosi  @joebiden  @gavinnewsom… https://t.co/ua2kg3wmgh', 'biden2020 democrates dumbies defundpolice blm acab liberal @speakerpelosi  @joebiden  @gavinnewsom… https://t.co/fvo4wfzdqi', 'biden2020 democrates dumbies defundpolice blm acab liberal @speakerpelosi  @joebiden  @gavinnewsom… https://t.co/wyneapong1']"
