head,tail,relation,weight
"(1240002813637189632, 't')",2020-03-17,tweeted_on,
"(1240003147835285504, 't')",2020-03-17,tweeted_on,
"(1240006238726787072, 't')",2020-03-17,tweeted_on,
"(1240008254677106688, 't')",2020-03-17,tweeted_on,
"(1240019858097496064, 't')",2020-03-17,tweeted_on,
"(1240022022932951040, 't')",2020-03-17,tweeted_on,
"(1240040944130379776, 't')",2020-03-17,tweeted_on,
"(1240043472200978432, 't')",2020-03-17,tweeted_on,
"(1240058517450444800, 't')",2020-03-17,tweeted_on,
"(1240062357440565248, 't')",2020-03-17,tweeted_on,
"(1240081445722279936, 't')",2020-03-18,tweeted_on,
"(1240081598772436992, 't')",2020-03-18,tweeted_on,
"(1240081793543372800, 't')",2020-03-18,tweeted_on,
"(1240082035575685120, 't')",2020-03-18,tweeted_on,
"(1240082169956929536, 't')",2020-03-18,tweeted_on,
"(1240083002161422336, 't')",2020-03-18,tweeted_on,
"(1240093057770389504, 't')",2020-03-18,tweeted_on,
"(1240097356441214976, 't')",2020-03-18,tweeted_on,
"(1240103012334370816, 't')",2020-03-18,tweeted_on,
"(1240103197156372480, 't')",2020-03-18,tweeted_on,
"(1240104037367681024, 't')",2020-03-18,tweeted_on,
"(1240104088336916480, 't')",2020-03-18,tweeted_on,
"(1240104421045882880, 't')",2020-03-18,tweeted_on,
"(1240112417117335552, 't')",2020-03-18,tweeted_on,
"(1240113188638613504, 't')",2020-03-18,tweeted_on,
"(1240121725271945216, 't')",2020-03-18,tweeted_on,
"(1240132814537920512, 't')",2020-03-18,tweeted_on,
"(1240136042872745984, 't')",2020-03-18,tweeted_on,
"(1240139618462416896, 't')",2020-03-18,tweeted_on,
"(1240145463095045888, 't')",2020-03-18,tweeted_on,
"(1240161825561305088, 't')",2020-03-18,tweeted_on,
"(1240165246603374592, 't')",2020-03-18,tweeted_on,
"(1240166434979766272, 't')",2020-03-18,tweeted_on,
"(1240170746564902912, 't')",2020-03-18,tweeted_on,
"(1240173184260792320, 't')",2020-03-18,tweeted_on,
"(1240226363614695424, 't')",2020-03-18,tweeted_on,
"(1240243007208583168, 't')",2020-03-18,tweeted_on,
"(1240245081287692288, 't')",2020-03-18,tweeted_on,
"(1240254156192931840, 't')",2020-03-18,tweeted_on,
"(1240255919880978432, 't')",2020-03-18,tweeted_on,
"(1240255968723611648, 't')",2020-03-18,tweeted_on,
"(1240271195779428352, 't')",2020-03-18,tweeted_on,
"(1240275343656681472, 't')",2020-03-18,tweeted_on,
"(1240277304112107520, 't')",2020-03-18,tweeted_on,
"(1240278966780346368, 't')",2020-03-18,tweeted_on,
"(1240282680941404160, 't')",2020-03-18,tweeted_on,
"(1240291348462186496, 't')",2020-03-18,tweeted_on,
"(1240291933785710592, 't')",2020-03-18,tweeted_on,
"(1240292553401839616, 't')",2020-03-18,tweeted_on,
"(1240293886867595264, 't')",2020-03-18,tweeted_on,
"(1240295478056505088, 't')",2020-03-18,tweeted_on,
"(1240309180658938112, 't')",2020-03-18,tweeted_on,
"(1240309570896924672, 't')",2020-03-18,tweeted_on,
"(1240309805274656768, 't')",2020-03-18,tweeted_on,
"(1240309855778304000, 't')",2020-03-18,tweeted_on,
"(1240311220055363584, 't')",2020-03-18,tweeted_on,
"(1240313280368791552, 't')",2020-03-18,tweeted_on,
"(1240315842039934976, 't')",2020-03-18,tweeted_on,
"(1240317702503198720, 't')",2020-03-18,tweeted_on,
"(1240318523756261376, 't')",2020-03-18,tweeted_on,
