head,tail,relation,weight
"(1368290612118573056, 't')","(707746458271883264, 'u')",replied_to,
"(1371013963723370496, 't')","(1069728005893836800, 'u')",replied_to,
"(1373500989357969408, 't')","(4775526133, 'u')",replied_to,
"(1377331022291890176, 't')","(1735621393, 'u')",replied_to,
"(1377538154320719872, 't')","(1296858137547300864, 'u')",replied_to,
"(1378411500059037696, 't')","(934243317742681984, 'u')",replied_to,
"(1382816254336004096, 't')","(294232586, 'u')",replied_to,
"(1384616752248590336, 't')","(2526023920, 'u')",replied_to,
"(1386106414406397952, 't')","(1365850744507760640, 'u')",replied_to,
"(1386416647871766528, 't')","(68004188, 'u')",replied_to,
"(1386517568874156032, 't')","(15953110, 'u')",replied_to,
"(1389372883118395392, 't')","(956366320026632192, 'u')",replied_to,
"(1390402596662222848, 't')","(1337377197472894976, 'u')",replied_to,
"(1392154803455791104, 't')","(1313566871640178688, 'u')",replied_to,
"(1397337824819482624, 't')","(1223327275971534848, 'u')",replied_to,
"(1398044136335306752, 't')","(1346992579523461120, 'u')",replied_to,
"(1399160339158093824, 't')","(16068973, 'u')",replied_to,
"(1400444558622691328, 't')","(2185190036, 'u')",replied_to,
"(1400853482286972928, 't')","(1078593580401229824, 'u')",replied_to,
"(1401444446298722304, 't')","(1336928180343504896, 'u')",replied_to,
"(1403486661145620480, 't')","(1087387242337685632, 'u')",replied_to,
"(1404211175202516992, 't')","(52783689, 'u')",replied_to,
"(1404211182026715136, 't')","(52783689, 'u')",replied_to,
"(1404875136776302592, 't')","(1093569487, 'u')",replied_to,
"(1245823916158808064, 't')","(56912280, 'u')",mentioned,
"(1250239385624174592, 't')","(2342377856, 'u')",mentioned,
"(1250542623263088640, 't')","(15792387, 'u')",mentioned,
"(1254810463864451072, 't')","(3076111561, 'u')",mentioned,
"(1256791007439421440, 't')","(834744876, 'u')",mentioned,
"(1256829323945758720, 't')","(54411909, 'u')",mentioned,
"(1258059479477821440, 't')","(610170736, 'u')",mentioned,
"(1260637337593303040, 't')","(771787999847804928, 'u')",mentioned,
"(1263732850127335424, 't')","(2644697608, 'u')",mentioned,
"(1265701392238341888, 't')","(253809805, 'u')",mentioned,
"(1267495623986642944, 't')","(3253018692, 'u')",mentioned,
"(1267553007727546368, 't')","(959818005533175808, 'u')",mentioned,
"(1267654279084433408, 't')","(145193801, 'u')",mentioned,
"(1268197554061299712, 't')","(34165372, 'u')",mentioned,
"(1268250633284378624, 't')","(84119738, 'u')",mentioned,
"(1268250778499551232, 't')","(84119738, 'u')",mentioned,
"(1269408095798611968, 't')","(8957592, 'u')",mentioned,
"(1270949415407063040, 't')","(1219769505670254592, 'u')",mentioned,
"(1275288516532957184, 't')","(381823897, 'u')",mentioned,
"(1275909625838104576, 't')","(1612067526, 'u')",mentioned,
"(1277755456807526400, 't')","(2644697608, 'u')",mentioned,
"(1277757866691055616, 't')","(2644697608, 'u')",mentioned,
"(1281002331870425088, 't')","(26326911, 'u')",mentioned,
"(1282858130393554944, 't')","(28378795, 'u')",mentioned,
"(1283691031846739968, 't')","(4786495154, 'u')",mentioned,
"(1287431141830451200, 't')","(543659463, 'u')",mentioned,
"(1292526222350540800, 't')","(2644697608, 'u')",mentioned,
"(1292847050371940352, 't')","(136536202, 'u')",mentioned,
"(1293119574192189440, 't')","(517293449, 'u')",mentioned,
"(1294696975762370560, 't')","(136536202, 'u')",mentioned,
"(1296553240410984448, 't')","(2644697608, 'u')",mentioned,
"(1304463985077399552, 't')","(4519986015, 'u')",mentioned,
"(1308481753699344384, 't')","(16898869, 'u')",mentioned,
"(1312119339890298880, 't')","(1206065406911234048, 'u')",mentioned,
"(1324212631285035008, 't')","(25282419, 'u')",mentioned,
"(1325258029982347264, 't')","(1323450039021281280, 'u')",mentioned,
"(1327834778813440000, 't')","(1704646470, 'u')",mentioned,
"(1327834778813440000, 't')","(1704646470, 'u')",mentioned,
"(1335829231486418944, 't')","(1408889839, 'u')",mentioned,
"(1337498696255119360, 't')","(15792387, 'u')",mentioned,
"(1337517463764799488, 't')","(282239784, 'u')",mentioned,
"(1338264913219788800, 't')","(191633989, 'u')",mentioned,
"(1347599688678064128, 't')","(2644697608, 'u')",mentioned,
"(1347749771784540160, 't')","(253809805, 'u')",mentioned,
"(1361791293421015040, 't')","(3307150214, 'u')",mentioned,
"(1362370623922561024, 't')","(1029905845293867008, 'u')",mentioned,
"(1363159260071223296, 't')","(736256132, 'u')",mentioned,
"(1368290612118573056, 't')","(707746458271883264, 'u')",mentioned,
"(1373500989357969408, 't')","(4775526133, 'u')",mentioned,
"(1400853482286972928, 't')","(1078593580401229824, 'u')",mentioned,
"(1237770144035856384, 't')",2020-03-11,tweeted_on,
"(1237796600673701888, 't')",2020-03-11,tweeted_on,
"(1237817438311305216, 't')",2020-03-11,tweeted_on,
"(1237819478529851392, 't')",2020-03-11,tweeted_on,
"(1237866427253583872, 't')",2020-03-11,tweeted_on,
"(1237919404030976000, 't')",2020-03-12,tweeted_on,
"(1237925930976169984, 't')",2020-03-12,tweeted_on,
"(1237957432623710208, 't')",2020-03-12,tweeted_on,
"(1237965799572131840, 't')",2020-03-12,tweeted_on,
"(1237984745289445376, 't')",2020-03-12,tweeted_on,
"(1238020807420334080, 't')",2020-03-12,tweeted_on,
"(1238104568585584640, 't')",2020-03-12,tweeted_on,
"(1238179661705646080, 't')",2020-03-12,tweeted_on,
"(1238208775938428928, 't')",2020-03-12,tweeted_on,
"(1238208828409171968, 't')",2020-03-12,tweeted_on,
"(1238218600193769472, 't')",2020-03-12,tweeted_on,
"(1238236220603248640, 't')",2020-03-12,tweeted_on,
"(1238249691625775104, 't')",2020-03-12,tweeted_on,
"(1238268729227649024, 't')",2020-03-13,tweeted_on,
"(1238271381533364224, 't')",2020-03-13,tweeted_on,
"(1238276696450551808, 't')",2020-03-13,tweeted_on,
"(1238292745443086336, 't')",2020-03-13,tweeted_on,
"(1238300418267951104, 't')",2020-03-13,tweeted_on,
"(1238344304378052608, 't')",2020-03-13,tweeted_on,
"(1238481787996667904, 't')",2020-03-13,tweeted_on,
"(1238505119110459392, 't')",2020-03-13,tweeted_on,
"(1238533927041556480, 't')",2020-03-13,tweeted_on,
"(1238554818567786496, 't')",2020-03-13,tweeted_on,
"(1238565761230098432, 't')",2020-03-13,tweeted_on,
"(1238618918295490560, 't')",2020-03-14,tweeted_on,
"(1238624489165877248, 't')",2020-03-14,tweeted_on,
"(1238654523159142400, 't')",2020-03-14,tweeted_on,
"(1238659508374654976, 't')",2020-03-14,tweeted_on,
"(1238686834135191552, 't')",2020-03-14,tweeted_on,
"(1238710351782227968, 't')",2020-03-14,tweeted_on,
"(1238715874380398592, 't')",2020-03-14,tweeted_on,
"(1238856513814277888, 't')",2020-03-14,tweeted_on,
"(1238904018191044608, 't')",2020-03-14,tweeted_on,
"(1238929633086550016, 't')",2020-03-14,tweeted_on,
"(1238942054790512640, 't')",2020-03-14,tweeted_on,
"(1238951487268483072, 't')",2020-03-14,tweeted_on,
"(1238982930023632896, 't')",2020-03-15,tweeted_on,
"(1238988387479998464, 't')",2020-03-15,tweeted_on,
"(1239004778316742912, 't')",2020-03-15,tweeted_on,
"(1239023518102118400, 't')",2020-03-15,tweeted_on,
"(1239077194774667264, 't')",2020-03-15,tweeted_on,
"(1239232034716839936, 't')",2020-03-15,tweeted_on,
"(1239254150828797952, 't')",2020-03-15,tweeted_on,
"(1239293259353997312, 't')",2020-03-15,tweeted_on,
"(1239414967947808768, 't')",2020-03-16,tweeted_on,
"(1239427021773537280, 't')",2020-03-16,tweeted_on,
"(1239490148212957184, 't')",2020-03-16,tweeted_on,
"(1239571909701849088, 't')",2020-03-16,tweeted_on,
"(1239576949934047232, 't')",2020-03-16,tweeted_on,
"(1239578987296247808, 't')",2020-03-16,tweeted_on,
"(1239613878817804288, 't')",2020-03-16,tweeted_on,
"(1239675333604970496, 't')",2020-03-16,tweeted_on,
"(1239689889014136832, 't')",2020-03-16,tweeted_on,
"(1239694834446643200, 't')",2020-03-16,tweeted_on,
"(1239701916881305600, 't')",2020-03-16,tweeted_on,
"(1239949279256391680, 't')",2020-03-17,tweeted_on,
"(1239957325101674496, 't')",2020-03-17,tweeted_on,
"(1239978753305894912, 't')",2020-03-17,tweeted_on,
"(1240081445722279936, 't')",2020-03-18,tweeted_on,
"(1240171676798607360, 't')",2020-03-18,tweeted_on,
"(1240200528866340864, 't')",2020-03-18,tweeted_on,
"(1240330892691701760, 't')",2020-03-18,tweeted_on,
"(1240332536938500096, 't')",2020-03-18,tweeted_on,
"(1240396811464060928, 't')",2020-03-18,tweeted_on,
"(1240461764829028352, 't')",2020-03-19,tweeted_on,
"(1240463073346904064, 't')",2020-03-19,tweeted_on,
"(1240471573078794240, 't')",2020-03-19,tweeted_on,
"(1240535441847095296, 't')",2020-03-19,tweeted_on,
"(1240602287409516288, 't')",2020-03-19,tweeted_on,
"(1240695712515362816, 't')",2020-03-19,tweeted_on,
"(1240738131969576960, 't')",2020-03-19,tweeted_on,
"(1240763485748772864, 't')",2020-03-19,tweeted_on,
"(1240768527985868800, 't')",2020-03-19,tweeted_on,
"(1240770608608272384, 't')",2020-03-19,tweeted_on,
"(1240775640569143296, 't')",2020-03-19,tweeted_on,
"(1240809054512893952, 't')",2020-03-20,tweeted_on,
"(1240828045901983488, 't')",2020-03-20,tweeted_on,
"(1240859733164060672, 't')",2020-03-20,tweeted_on,
"(1240860777625440512, 't')",2020-03-20,tweeted_on,
"(1240874089939525632, 't')",2020-03-20,tweeted_on,
