head,tail,relation,weight
"(1240171676798607360, 't')",2020-03-18,tweeted_on,
"(1240370219236724736, 't')",2020-03-18,tweeted_on,
"(1240463073346904064, 't')",2020-03-19,tweeted_on,
"(1240471573078794240, 't')",2020-03-19,tweeted_on,
"(1240532246219509760, 't')",2020-03-19,tweeted_on,
"(1240535441847095296, 't')",2020-03-19,tweeted_on,
"(1240699240109621248, 't')",2020-03-19,tweeted_on,
"(1240738131969576960, 't')",2020-03-19,tweeted_on,
"(1240763485748772864, 't')",2020-03-19,tweeted_on,
"(1240809054512893952, 't')",2020-03-20,tweeted_on,
"(1240815961470451712, 't')",2020-03-20,tweeted_on,
"(1240859733164060672, 't')",2020-03-20,tweeted_on,
"(1240874618128183296, 't')",2020-03-20,tweeted_on,
"(1240882192240111616, 't')",2020-03-20,tweeted_on,
"(1240927619429752832, 't')",2020-03-20,tweeted_on,
"(1241056670362394624, 't')",2020-03-20,tweeted_on,
"(1241123486296207360, 't')",2020-03-20,tweeted_on,
"(1241149175439319040, 't')",2020-03-20,tweeted_on,
"(1241192779532759040, 't')",2020-03-21,tweeted_on,
"(1241222877547859968, 't')",2020-03-21,tweeted_on,
"(1241235264443301888, 't')",2020-03-21,tweeted_on,
"(1241238511035924480, 't')",2020-03-21,tweeted_on,
"(1241347493423509504, 't')",2020-03-21,tweeted_on,
"(1241428810605539328, 't')",2020-03-21,tweeted_on,
"(1241430808260313088, 't')",2020-03-21,tweeted_on,
"(1241504166326841088, 't')",2020-03-21,tweeted_on,
"(1241884971444228096, 't')",2020-03-23,tweeted_on,
"(1241887329213501440, 't')",2020-03-23,tweeted_on,
"(1241904190063968512, 't')",2020-03-23,tweeted_on,
"(1242031058209484800, 't')",2020-03-23,tweeted_on,
"(1242107131291037696, 't')",2020-03-23,tweeted_on,
"(1242150010382209024, 't')",2020-03-23,tweeted_on,
"(1242170969105387520, 't')",2020-03-23,tweeted_on,
"(1242185063917170688, 't')",2020-03-23,tweeted_on,
"(1242195310840958976, 't')",2020-03-23,tweeted_on,
"(1242196532973039616, 't')",2020-03-23,tweeted_on,
"(1242236768167931904, 't')",2020-03-23,tweeted_on,
"(1242295912900116480, 't')",2020-03-24,tweeted_on,
"(1242297808339660800, 't')",2020-03-24,tweeted_on,
"(1242302140334231552, 't')",2020-03-24,tweeted_on,
"(1242320525818351616, 't')",2020-03-24,tweeted_on,
"(1242421110919925760, 't')",2020-03-24,tweeted_on,
"(1242490194407772160, 't')",2020-03-24,tweeted_on,
"(1242503818757038080, 't')",2020-03-24,tweeted_on,
"(1242510812188569600, 't')",2020-03-24,tweeted_on,
"(1242540312511148032, 't')",2020-03-24,tweeted_on,
"(1242571237991145472, 't')",2020-03-24,tweeted_on,
"(1242576560483254272, 't')",2020-03-24,tweeted_on,
"(1242593339490197504, 't')",2020-03-24,tweeted_on,
"(1242623387832176640, 't')",2020-03-25,tweeted_on,
"(1242627924961845248, 't')",2020-03-25,tweeted_on,
"(1242631852105424896, 't')",2020-03-25,tweeted_on,
"(1242687068054024192, 't')",2020-03-25,tweeted_on,
"(1242834920810168320, 't')",2020-03-25,tweeted_on,
"(1242839998707027968, 't')",2020-03-25,tweeted_on,
"(1242847227262820352, 't')",2020-03-25,tweeted_on,
"(1242855469737099264, 't')",2020-03-25,tweeted_on,
"(1242860562557489152, 't')",2020-03-25,tweeted_on,
"(1242883437599440896, 't')",2020-03-25,tweeted_on,
"(1242960971653509120, 't')",2020-03-25,tweeted_on,
"(1242982151731044352, 't')",2020-03-26,tweeted_on,
"(1242996365963059200, 't')",2020-03-26,tweeted_on,
"(1243013297487540224, 't')",2020-03-26,tweeted_on,
"(1243035611012812800, 't')",2020-03-26,tweeted_on,
"(1243041187323211776, 't')",2020-03-26,tweeted_on,
"(1243069292100210688, 't')",2020-03-26,tweeted_on,
"(1243173265306087424, 't')",2020-03-26,tweeted_on,
"(1243355204872884224, 't')",2020-03-27,tweeted_on,
"(1243358670504595712, 't')",2020-03-27,tweeted_on,
"(1243374047242510336, 't')",2020-03-27,tweeted_on,
"(1243380184276819968, 't')",2020-03-27,tweeted_on,
"(1243456494986649600, 't')",2020-03-27,tweeted_on,
"(1243609131090468864, 't')",2020-03-27,tweeted_on,
"(1243673686558691328, 't')",2020-03-27,tweeted_on,
"(1243679520789422080, 't')",2020-03-27,tweeted_on,
"(1243704534674706432, 't')",2020-03-28,tweeted_on,
"(1243715118069764096, 't')",2020-03-28,tweeted_on,
"(1243716885301972992, 't')",2020-03-28,tweeted_on,
"(1243733802486095872, 't')",2020-03-28,tweeted_on,
"(1243745323404513280, 't')",2020-03-28,tweeted_on,
"(1243754422783463424, 't')",2020-03-28,tweeted_on,
"(1243776837194362880, 't')",2020-03-28,tweeted_on,
"(1243780654468231168, 't')",2020-03-28,tweeted_on,
"(1243940545140940800, 't')",2020-03-28,tweeted_on,
"(1243947134056951808, 't')",2020-03-28,tweeted_on,
"(1243949073281028096, 't')",2020-03-28,tweeted_on,
"(1243958399252828160, 't')",2020-03-28,tweeted_on,
"(1243967634057510912, 't')",2020-03-28,tweeted_on,
"(1243979662478336000, 't')",2020-03-28,tweeted_on,
"(1244017976124170240, 't')",2020-03-28,tweeted_on,
"(1244091781706207232, 't')",2020-03-29,tweeted_on,
"(1244185502485364736, 't')",2020-03-29,tweeted_on,
"(1244239800942465024, 't')",2020-03-29,tweeted_on,
"(1244319158256332800, 't')",2020-03-29,tweeted_on,
"(1244327198141452288, 't')",2020-03-29,tweeted_on,
"(1244335066106355712, 't')",2020-03-29,tweeted_on,
"(1244390583587598336, 't')",2020-03-29,tweeted_on,
"(1244403116885168128, 't')",2020-03-29,tweeted_on,
"(1244476540693471232, 't')",2020-03-30,tweeted_on,
"(1245006792075042816, 't')",2020-03-31,tweeted_on,
"(1245072308244340736, 't')",2020-03-31,tweeted_on,
"(1245081664620916736, 't')",2020-03-31,tweeted_on,
"(1245082536465690624, 't')",2020-03-31,tweeted_on,
"(1245119545968230400, 't')",2020-03-31,tweeted_on,
"(1245180582717296640, 't')",2020-04-01,tweeted_on,
"(1245187861017530368, 't')",2020-04-01,tweeted_on,
"(1245228046908403712, 't')",2020-04-01,tweeted_on,
"(1245251745455857664, 't')",2020-04-01,tweeted_on,
"(1245255554852765696, 't')",2020-04-01,tweeted_on,
"(1245381070276546560, 't')",2020-04-01,tweeted_on,
"(1245416434106109952, 't')",2020-04-01,tweeted_on,
"(1245460649351589888, 't')",2020-04-01,tweeted_on,
"(1245461573021216768, 't')",2020-04-01,tweeted_on,
"(1245500654904176640, 't')",2020-04-01,tweeted_on,
"(1245509326766145536, 't')",2020-04-02,tweeted_on,
"(1245521445079232512, 't')",2020-04-02,tweeted_on,
"(1245523023555223552, 't')",2020-04-02,tweeted_on,
"(1245587424949882880, 't')",2020-04-02,tweeted_on,
"(1245703220443222016, 't')",2020-04-02,tweeted_on,
"(1245732333765853184, 't')",2020-04-02,tweeted_on,
"(1245766572053901312, 't')",2020-04-02,tweeted_on,
"(1245777685701259264, 't')",2020-04-02,tweeted_on,
"(1245796753145769984, 't')",2020-04-02,tweeted_on,
"(1245823916158808064, 't')",2020-04-02,tweeted_on,
"(1245831509577097216, 't')",2020-04-02,tweeted_on,
"(1245862100838141952, 't')",2020-04-02,tweeted_on,
"(1245862528640376832, 't')",2020-04-02,tweeted_on,
"(1245863199699681280, 't')",2020-04-02,tweeted_on,
"(1245900010450866176, 't')",2020-04-03,tweeted_on,
"(1245940455558098944, 't')",2020-04-03,tweeted_on,
"(1245998029192056832, 't')",2020-04-03,tweeted_on,
"(1246026581245456384, 't')",2020-04-03,tweeted_on,
"(1246156749075132416, 't')",2020-04-03,tweeted_on,
"(1246168902712709120, 't')",2020-04-03,tweeted_on,
"(1246202763454758912, 't')",2020-04-03,tweeted_on,
"(1246215594489180160, 't')",2020-04-03,tweeted_on,
"(1246275255649230848, 't')",2020-04-04,tweeted_on,
"(1246316260540837888, 't')",2020-04-04,tweeted_on,
"(1246366501059223552, 't')",2020-04-04,tweeted_on,
"(1246406195801231360, 't')",2020-04-04,tweeted_on,
"(1246588450553257984, 't')",2020-04-05,tweeted_on,
"(1246589127279005696, 't')",2020-04-05,tweeted_on,
"(1246884863614935040, 't')",2020-04-05,tweeted_on,
"(1246891268287778816, 't')",2020-04-05,tweeted_on,
"(1246984842857680896, 't')",2020-04-06,tweeted_on,
"(1247054917333692416, 't')",2020-04-06,tweeted_on,
"(1247137104531828736, 't')",2020-04-06,tweeted_on,
"(1247222722637094912, 't')",2020-04-06,tweeted_on,
"(1247322041545453568, 't')",2020-04-07,tweeted_on,
"(1247332894051192832, 't')",2020-04-07,tweeted_on,
"(1247357876105965568, 't')",2020-04-07,tweeted_on,
"(1247455498535763968, 't')",2020-04-07,tweeted_on,
"(1247487696290770944, 't')",2020-04-07,tweeted_on,
"(1247510971481870336, 't')",2020-04-07,tweeted_on,
"(1247626670598582272, 't')",2020-04-07,tweeted_on,
"(1247633619998240768, 't')",2020-04-07,tweeted_on,
"(1247710107921768448, 't')",2020-04-08,tweeted_on,
"(1247723240182517760, 't')",2020-04-08,tweeted_on,
"(1247725450538799104, 't')",2020-04-08,tweeted_on,
"(1247743043467235328, 't')",2020-04-08,tweeted_on,
"(1247768176286240768, 't')",2020-04-08,tweeted_on,
"(1247878555179954176, 't')",2020-04-08,tweeted_on,
"(1247999019046989824, 't')",2020-04-08,tweeted_on,
"(1248065275397672960, 't')",2020-04-09,tweeted_on,
"(1248066055924301824, 't')",2020-04-09,tweeted_on,
"(1248081913962565632, 't')",2020-04-09,tweeted_on,
"(1248091515898880000, 't')",2020-04-09,tweeted_on,
"(1248113006006824960, 't')",2020-04-09,tweeted_on,
"(1248133157401939968, 't')",2020-04-09,tweeted_on,
"(1248160393207279616, 't')",2020-04-09,tweeted_on,
"(1248161743647326208, 't')",2020-04-09,tweeted_on,
"(1248298625903415296, 't')",2020-04-09,tweeted_on,
"(1248306352130109440, 't')",2020-04-09,tweeted_on,
"(1248340603118718976, 't')",2020-04-09,tweeted_on,
"(1248384323788538112, 't')",2020-04-09,tweeted_on,
"(1248391084851384320, 't')",2020-04-09,tweeted_on,
"(1248427174777909248, 't')",2020-04-10,tweeted_on,
"(1248509464816177152, 't')",2020-04-10,tweeted_on,
"(1248540355231764480, 't')",2020-04-10,tweeted_on,
"(1248644722593107968, 't')",2020-04-10,tweeted_on,
"(1248685920510853120, 't')",2020-04-10,tweeted_on,
"(1248692130291146752, 't')",2020-04-10,tweeted_on,
"(1248701758144049152, 't')",2020-04-10,tweeted_on,
"(1248726772805275648, 't')",2020-04-10,tweeted_on,
"(1248737802944053248, 't')",2020-04-10,tweeted_on,
"(1248754832296443904, 't')",2020-04-10,tweeted_on,
"(1248760427254693888, 't')",2020-04-10,tweeted_on,
"(1248761522022526976, 't')",2020-04-10,tweeted_on,
"(1248785289650159616, 't')",2020-04-11,tweeted_on,
"(1248832524471549952, 't')",2020-04-11,tweeted_on,
"(1248837136884719616, 't')",2020-04-11,tweeted_on,
"(1248841728791957504, 't')",2020-04-11,tweeted_on,
"(1248851297358340096, 't')",2020-04-11,tweeted_on,
"(1249014403652931584, 't')",2020-04-11,tweeted_on,
"(1249119232090136576, 't')",2020-04-11,tweeted_on,
"(1249121343196536832, 't')",2020-04-11,tweeted_on,
"(1249147444174127104, 't')",2020-04-12,tweeted_on,
"(1249147489200070912, 't')",2020-04-12,tweeted_on,
"(1249167087504896000, 't')",2020-04-12,tweeted_on,
"(1249175145123581952, 't')",2020-04-12,tweeted_on,
"(1249208530357358592, 't')",2020-04-12,tweeted_on,
"(1249253989574574080, 't')",2020-04-12,tweeted_on,
"(1249416691479527424, 't')",2020-04-12,tweeted_on,
"(1249466627264937984, 't')",2020-04-12,tweeted_on,
"(1249467217801953280, 't')",2020-04-12,tweeted_on,
"(1249560504709742592, 't')",2020-04-13,tweeted_on,
"(1249744101240532992, 't')",2020-04-13,tweeted_on,
"(1249908088817078272, 't')",2020-04-14,tweeted_on,
"(1249908851081543680, 't')",2020-04-14,tweeted_on,
"(1249909470563463168, 't')",2020-04-14,tweeted_on,
"(1249910931145908224, 't')",2020-04-14,tweeted_on,
"(1249938153890369536, 't')",2020-04-14,tweeted_on,
"(1249969768146190336, 't')",2020-04-14,tweeted_on,
"(1249974552135741440, 't')",2020-04-14,tweeted_on,
"(1250067042822127616, 't')",2020-04-14,tweeted_on,
"(1250132748569735168, 't')",2020-04-14,tweeted_on,
"(1250171014975074304, 't')",2020-04-14,tweeted_on,
"(1250221327325126912, 't')",2020-04-15,tweeted_on,
"(1250239385624174592, 't')",2020-04-15,tweeted_on,
"(1250240047468572672, 't')",2020-04-15,tweeted_on,
"(1250251984201871360, 't')",2020-04-15,tweeted_on,
"(1250265456121745408, 't')",2020-04-15,tweeted_on,
"(1250556614211330048, 't')",2020-04-15,tweeted_on,
"(1250558809715568640, 't')",2020-04-15,tweeted_on,
"(1250573946124001280, 't')",2020-04-15,tweeted_on,
"(1250579960676282368, 't')",2020-04-16,tweeted_on,
"(1250595203292922112, 't')",2020-04-16,tweeted_on,
"(1250634701573771264, 't')",2020-04-16,tweeted_on,
"(1250690610253541376, 't')",2020-04-16,tweeted_on,
"(1250711376466608128, 't')",2020-04-16,tweeted_on,
"(1250743253583814912, 't')",2020-04-16,tweeted_on,
"(1250802080945590272, 't')",2020-04-16,tweeted_on,
"(1250838451135475712, 't')",2020-04-16,tweeted_on,
"(1250846044432117760, 't')",2020-04-16,tweeted_on,
"(1250848952590626816, 't')",2020-04-16,tweeted_on,
"(1250861297459060736, 't')",2020-04-16,tweeted_on,
"(1250896352009056512, 't')",2020-04-16,tweeted_on,
"(1250904493899710464, 't')",2020-04-16,tweeted_on,
"(1250948918331899904, 't')",2020-04-17,tweeted_on,
"(1250950980021006336, 't')",2020-04-17,tweeted_on,
"(1250969582874968064, 't')",2020-04-17,tweeted_on,
"(1251003498734341888, 't')",2020-04-17,tweeted_on,
"(1251012389073416192, 't')",2020-04-17,tweeted_on,
"(1251040531007680512, 't')",2020-04-17,tweeted_on,
"(1251204834646085632, 't')",2020-04-17,tweeted_on,
"(1251216955400286208, 't')",2020-04-17,tweeted_on,
"(1251231963303665664, 't')",2020-04-17,tweeted_on,
"(1251267857830178816, 't')",2020-04-17,tweeted_on,
"(1251272847353208832, 't')",2020-04-17,tweeted_on,
"(1251289431966838784, 't')",2020-04-17,tweeted_on,
"(1251297313013641216, 't')",2020-04-17,tweeted_on,
"(1251306936877735936, 't')",2020-04-18,tweeted_on,
"(1251310319630082048, 't')",2020-04-18,tweeted_on,
"(1251323433511616512, 't')",2020-04-18,tweeted_on,
"(1251349119324483584, 't')",2020-04-18,tweeted_on,
"(1251353587474509824, 't')",2020-04-18,tweeted_on,
"(1251431186578063360, 't')",2020-04-18,tweeted_on,
"(1251432564536926208, 't')",2020-04-18,tweeted_on,
"(1251546557771427840, 't')",2020-04-18,tweeted_on,
"(1251593855960354816, 't')",2020-04-18,tweeted_on,
"(1251594212782440448, 't')",2020-04-18,tweeted_on,
"(1251594943304314880, 't')",2020-04-18,tweeted_on,
"(1251617762046169088, 't')",2020-04-18,tweeted_on,
"(1251637272555827200, 't')",2020-04-18,tweeted_on,
"(1251659272242343936, 't')",2020-04-18,tweeted_on,
"(1251686057063612416, 't')",2020-04-19,tweeted_on,
"(1251748306876686336, 't')",2020-04-19,tweeted_on,
"(1251751358635454464, 't')",2020-04-19,tweeted_on,
"(1251751382987620352, 't')",2020-04-19,tweeted_on,
"(1251768704469209088, 't')",2020-04-19,tweeted_on,
"(1251795085299085312, 't')",2020-04-19,tweeted_on,
"(1251849717652185088, 't')",2020-04-19,tweeted_on,
"(1251938217789513728, 't')",2020-04-19,tweeted_on,
"(1251938639421952000, 't')",2020-04-19,tweeted_on,
"(1251939820454072320, 't')",2020-04-19,tweeted_on,
"(1251939900804313088, 't')",2020-04-19,tweeted_on,
"(1251965515850899712, 't')",2020-04-19,tweeted_on,
"(1251969273263579136, 't')",2020-04-19,tweeted_on,
"(1251973042831421440, 't')",2020-04-19,tweeted_on,
"(1251981418638397440, 't')",2020-04-19,tweeted_on,
"(1252023624715755520, 't')",2020-04-19,tweeted_on,
"(1252026676701102080, 't')",2020-04-20,tweeted_on,
"(1252253239740784640, 't')",2020-04-20,tweeted_on,
"(1252258519480365056, 't')",2020-04-20,tweeted_on,
"(1252271403316858880, 't')",2020-04-20,tweeted_on,
"(1252379367042236416, 't')",2020-04-20,tweeted_on,
"(1252405973827768320, 't')",2020-04-21,tweeted_on,
"(1252436261324779520, 't')",2020-04-21,tweeted_on,
"(1252477503991513088, 't')",2020-04-21,tweeted_on,
"(1252563159249858560, 't')",2020-04-21,tweeted_on,
"(1252567494545387520, 't')",2020-04-21,tweeted_on,
"(1252621594230308864, 't')",2020-04-21,tweeted_on,
"(1252682015721189376, 't')",2020-04-21,tweeted_on,
"(1252692292118343680, 't')",2020-04-21,tweeted_on,
"(1252934235754622976, 't')",2020-04-22,tweeted_on,
"(1252936806258995200, 't')",2020-04-22,tweeted_on,
"(1252955163016327168, 't')",2020-04-22,tweeted_on,
"(1252957200365916160, 't')",2020-04-22,tweeted_on,
"(1252983644072734720, 't')",2020-04-22,tweeted_on,
"(1252989397143703552, 't')",2020-04-22,tweeted_on,
"(1253005607101059072, 't')",2020-04-22,tweeted_on,
"(1253026856523063296, 't')",2020-04-22,tweeted_on,
"(1253083733269213184, 't')",2020-04-22,tweeted_on,
"(1253130835160494080, 't')",2020-04-23,tweeted_on,
"(1253155000122880000, 't')",2020-04-23,tweeted_on,
"(1253175088301539328, 't')",2020-04-23,tweeted_on,
"(1253244117234024448, 't')",2020-04-23,tweeted_on,
"(1253293852674322432, 't')",2020-04-23,tweeted_on,
"(1253315871566520320, 't')",2020-04-23,tweeted_on,
"(1253439453856624640, 't')",2020-04-23,tweeted_on,
"(1253508916421423104, 't')",2020-04-24,tweeted_on,
"(1253514558200672512, 't')",2020-04-24,tweeted_on,
"(1253631568326746112, 't')",2020-04-24,tweeted_on,
"(1253721156831477760, 't')",2020-04-24,tweeted_on,
"(1253821872384339968, 't')",2020-04-24,tweeted_on,
"(1253839330046390272, 't')",2020-04-25,tweeted_on,
"(1253841122108956672, 't')",2020-04-25,tweeted_on,
"(1253864127899987968, 't')",2020-04-25,tweeted_on,
"(1253882763297480704, 't')",2020-04-25,tweeted_on,
"(1254137765337260032, 't')",2020-04-25,tweeted_on,
"(1254178042005475328, 't')",2020-04-25,tweeted_on,
"(1254178203163222016, 't')",2020-04-25,tweeted_on,
"(1254178591706775552, 't')",2020-04-25,tweeted_on,
"(1254178763505413888, 't')",2020-04-25,tweeted_on,
"(1254208813537751040, 't')",2020-04-26,tweeted_on,
